full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,73531,73531,5845,149,149,13,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,59863,59863,7410,445,445,50,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,21161,21161,4151,162,162,16,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,28903,28903,2216,29,29,-1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,22025,22025,2087,33,33,7,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,26180,26180,1632,66,66,9,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5995,5995,1501,5,5,1,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,12419,12419,1335,26,26,5,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9146,9146,1182,11,11,1,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,7484,7484,531,7,7,0,https://github.com/frankbria/ralph-claude-code
shanraisshan/claude-code-best-practice,8209,8209,749,422,422,41,https://github.com/shanraisshan/claude-code-best-practice
Piebald-AI/claude-code-system-prompts,5287,5287,754,16,16,4,https://github.com/Piebald-AI/claude-code-system-prompts
ChrisWiles/claude-code-showcase,5434,5434,465,2,2,0,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3684,3684,545,1,1,0,https://github.com/OneRedOak/claude-code-workflows
1rgs/claude-code-proxy,3129,3129,417,3,3,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3217,3217,572,4,4,1,https://github.com/disler/claude-code-hooks-mastery
kodu-ai/claude-coder,5291,5291,199,0,0,0,https://github.com/kodu-ai/claude-coder
zebbern/claude-code-guide,3509,3509,326,3,3,0,https://github.com/zebbern/claude-code-guide
anthropics/skills,83321,83321,8763,409,409,43,https://github.com/anthropics/skills
Yuyz0112/claude-code-reverse,2143,2143,365,5,5,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6780,6780,330,5,5,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
ykdojo/claude-code-tips,4057,4057,285,20,20,1,https://github.com/ykdojo/claude-code-tips
fuergaosi233/claude-code-proxy,2088,2088,294,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
pedrohcgs/claude-code-my-workflow,524,524,770,7,7,9,https://github.com/pedrohcgs/claude-code-my-workflow
Cranot/claude-code-guide,2434,2434,257,5,5,0,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,592,592,589,0,0,0,https://github.com/anthropics/claude-code-base-action
anthropics/claude-code-security-review,3550,3550,281,8,8,0,https://github.com/anthropics/claude-code-security-review
Pimzino/claude-code-spec-workflow,3479,3479,249,4,4,0,https://github.com/Pimzino/claude-code-spec-workflow
router-for-me/CLIProxyAPI,13136,13136,2132,84,84,22,https://github.com/router-for-me/CLIProxyAPI
https-deeplearning-ai/sc-claude-code-files,439,439,595,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,1256,1256,261,3,3,1,https://github.com/edmund-io/edmunds-claude-code
wshobson/agents,30175,30175,3307,43,43,5,https://github.com/wshobson/agents
qwibitai/nanoclaw,18489,18489,2970,173,173,30,https://github.com/qwibitai/nanoclaw
eyaltoledano/claude-task-master,25763,25763,2442,6,6,1,https://github.com/eyaltoledano/claude-task-master
RichardAtCT/claude-code-telegram,1887,1887,222,7,7,2,https://github.com/RichardAtCT/claude-code-telegram
siteboon/claudecodeui,7633,7633,976,27,27,6,https://github.com/siteboon/claudecodeui
ding113/claude-code-hub,1595,1595,199,4,4,1,https://github.com/ding113/claude-code-hub
snarktank/ralph,11965,11965,1303,38,38,6,https://github.com/snarktank/ralph
EveryInc/compound-engineering-plugin,9835,9835,780,10,10,1,https://github.com/EveryInc/compound-engineering-plugin
feiskyer/claude-code-settings,1251,1251,186,2,2,0,https://github.com/feiskyer/claude-code-settings
lst97/claude-code-sub-agents,1440,1440,233,3,3,1,https://github.com/lst97/claude-code-sub-agents
carlvellotti/claude-code-pm-course,1546,1546,227,5,5,1,https://github.com/carlvellotti/claude-code-pm-course
sugyan/claude-code-webui,942,942,211,1,1,0,https://github.com/sugyan/claude-code-webui
github/spec-kit,73906,73906,6322,119,119,4,https://github.com/github/spec-kit
ghuntley/claude-code-source-code-deobfuscation,850,850,414,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
nishimoto265/Claude-Code-Communication,493,493,238,1,1,0,https://github.com/nishimoto265/Claude-Code-Communication
sickn33/antigravity-awesome-skills,19114,19114,3395,296,296,36,https://github.com/sickn33/antigravity-awesome-skills
centminmod/my-claude-code-setup,1934,1934,180,3,3,0,https://github.com/centminmod/my-claude-code-setup
darcyegb/ClaudeCodeAgents,575,575,51,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
rizethereum/claude-code-requirements-builder,1749,1749,171,1,1,0,https://github.com/rizethereum/claude-code-requirements-builder
slopus/happy,14175,14175,1102,27,27,3,https://github.com/slopus/happy
andrepimenta/claude-code-chat,995,995,152,1,1,0,https://github.com/andrepimenta/claude-code-chat
bfly123/claude_code_bridge,1397,1397,132,2,2,0,https://github.com/bfly123/claude_code_bridge
disler/claude-code-hooks-multi-agent-observability,1232,1232,350,2,2,2,https://github.com/disler/claude-code-hooks-multi-agent-observability
Njengah/claude-code-cheat-sheet,1390,1390,174,7,7,0,https://github.com/Njengah/claude-code-cheat-sheet
steipete/claude-code-mcp,1151,1151,139,3,3,0,https://github.com/steipete/claude-code-mcp
zhukunpenglinyutong/idea-claude-code-gui,1475,1475,161,16,16,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
obra/superpowers,70202,70202,5402,447,447,44,https://github.com/obra/superpowers
JessyTsui/Claude-Code-Remote,1127,1127,122,0,0,1,https://github.com/JessyTsui/Claude-Code-Remote
trailofbits/claude-code-config,1473,1473,110,5,5,0,https://github.com/trailofbits/claude-code-config
catlog22/Claude-Code-Workflow,1409,1409,114,4,4,0,https://github.com/catlog22/Claude-Code-Workflow
anthropics/claude-plugins-official,8945,8945,880,37,37,6,https://github.com/anthropics/claude-plugins-official
peterkrueck/Claude-Code-Development-Kit,1316,1316,149,1,1,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
pchalasani/claude-code-tools,1525,1525,100,8,8,1,https://github.com/pchalasani/claude-code-tools
winfunc/opcode,20777,20777,1600,2,2,1,https://github.com/winfunc/opcode
simonw/claude-code-transcripts,1083,1083,122,2,2,0,https://github.com/simonw/claude-code-transcripts
farion1231/cc-switch,23546,23546,1450,201,201,8,https://github.com/farion1231/cc-switch
jarrodwatts/claude-code-config,957,957,120,2,2,0,https://github.com/jarrodwatts/claude-code-config
0xfurai/claude-code-subagents,743,743,139,2,2,0,https://github.com/0xfurai/claude-code-subagents
jeremylongshore/claude-code-plugins-plus-skills,1502,1502,180,5,5,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
EnzeD/vibe-coding,4002,4002,1341,4,4,3,https://github.com/EnzeD/vibe-coding
wasabeef/claude-code-cookbook,1023,1023,111,2,2,0,https://github.com/wasabeef/claude-code-cookbook
alirezarezvani/claude-skills,2341,2341,307,15,15,2,https://github.com/alirezarezvani/claude-skills
alirezarezvani/claude-code-tresor,569,569,136,1,1,1,https://github.com/alirezarezvani/claude-code-tresor
cixingguangming55555/wechat-bot,2533,2533,668,0,0,0,https://github.com/cixingguangming55555/wechat-bot
ComposioHQ/awesome-claude-skills,40528,40528,4022,188,188,25,https://github.com/ComposioHQ/awesome-claude-skills
revfactory/claude-code-mastering,760,760,122,1,1,0,https://github.com/revfactory/claude-code-mastering
d-kimuson/claude-code-viewer,940,940,104,2,2,0,https://github.com/d-kimuson/claude-code-viewer
anthropics/claude-agent-sdk-demos,1588,1588,247,4,4,0,https://github.com/anthropics/claude-agent-sdk-demos
anthropics/claude-agent-sdk-python,5151,5151,680,9,9,1,https://github.com/anthropics/claude-agent-sdk-python
numman-ali/openskills,8731,8731,562,11,11,2,https://github.com/numman-ali/openskills
browser-use/browser-use,79561,79561,9404,41,41,1,https://github.com/browser-use/browser-use
ericbuess/claude-code-docs,714,714,101,2,2,0,https://github.com/ericbuess/claude-code-docs
Alishahryar1/free-claude-code,780,780,93,5,5,-1,https://github.com/Alishahryar1/free-claude-code
code-yeongyu/oh-my-opencode,36771,36771,2772,114,114,5,https://github.com/code-yeongyu/oh-my-opencode
anomalyco/opencode,115631,115631,11715,260,260,19,https://github.com/anomalyco/opencode
opactorai/Claudable,3767,3767,563,2,2,0,https://github.com/opactorai/Claudable
MadAppGang/claude-code,241,241,25,0,0,0,https://github.com/MadAppGang/claude-code
kn1026/cc,704,704,270,1,1,0,https://github.com/kn1026/cc
superdesigndev/superdesign,6060,6060,686,2,2,0,https://github.com/superdesigndev/superdesign
severity1/claude-code-prompt-improver,1167,1167,99,-1,-1,0,https://github.com/severity1/claude-code-prompt-improver
Yeachan-Heo/oh-my-claudecode,8261,8261,574,60,60,5,https://github.com/Yeachan-Heo/oh-my-claudecode
OthmanAdi/planning-with-files,15216,15216,1401,45,45,3,https://github.com/OthmanAdi/planning-with-files
lyconear/Claude-Code,4,4,147,0,0,0,https://github.com/lyconear/Claude-Code
greggh/claude-code.nvim,1884,1884,60,1,1,0,https://github.com/greggh/claude-code.nvim
daymade/claude-code-skills,621,621,89,1,1,0,https://github.com/daymade/claude-code-skills
